group,A,k,Faustmann,MSY,Hartman,VanKooten,WeightedmeanAGC,Area,%Saved,%Harvested,Demandgrowth,Areaexpansion,Wtd.MeanAGC,Rotation,Wtd.Faust.Agc,WeightedFaust.AGC,WtdFaust.AGC,Wtd.Faust.AGC
NA,88.6,0.22,9,10,10,21,37.1,1000,10,90,0.8,2,NA,NA,NA,NA,NA,NA
NA,122.6,0.06,25,37,47,100,35.9,1000,10,90,0.8,2,35.93,NA,NA,NA,NA,NA
NA,101.4,0.2,10,11,10,24,42.44,1000,10,90,0.8,2,NA,NA,NA,NA,NA,NA
NA,55.7,0.09,18,25,39,100,NA,1000,10,90,0.8,2,18.06,NA,NA,NA,NA,NA
NA,96,0.06,25,39,48,100,NA,1000,10,90,0.8,2,28.13,NA,NA,NA,NA,NA
NA,322.3,0.02,NA,NA,NA,NA,NA,1000,10,90,1,2,NA,27,NA,NA,NA,NA
NA,111.7,0.04,32,57,59,100,NA,1000,10,90,0.8,2,NA,NA,26.9,NA,NA,NA
NA,84.8,0.1,17,23,34,100,NA,1000,10,90,0.8,2,29.05,NA,NA,NA,NA,NA
NA,240.3,0.04,30,54,56,100,53.44,1000,10,90,0.8,2,NA,NA,NA,NA,NA,NA
NA,108.6,0.05,27,46,52,100,NA,1000,10,90,0.8,2,NA,NA,NA,28.05,NA,NA
NA,102.8,0.07,21,33,43,100,NA,1000,10,90,0.8,2,NA,NA,NA,NA,29.67,NA
NA,81.4,0.06,25,38,49,100,NA,1000,10,90,0.8,2,NA,NA,NA,NA,NA,23.85
NA,81.8,0.03,39,77,52,100,NA,1000,10,90,0.8,2,NA,NA,NA,NA,NA,17.46
